0,20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600
250,500,750,1000,1250,1500,1750,2000,2250,2500,2750,3000,3250,3500,3750,4000,4250,4500,4750,5000,5250,5500,5750,6000,6250,6500,6750,7000,7250,7500,7750,8000
"[2.1541474577329, 2.1525596720869995, 2.150338378797, 2.1479626515101, 2.1452423360054995, 2.1420850283608, 2.1389336432727, 2.1357881585635, 2.1326485521798, 2.1290111663339, 2.1251033515048, 2.1212046054759, 2.1173148862531, 2.1134341521331, 2.1095623617012, 2.1056994738281, 2.1018454476678, 2.0980002426547, 2.0941255366948, 2.0895334666234, 2.0849539141940996, 2.0803868113481, 2.07583209058, 2.0712896849322, 2.0667595279884994, 2.0622415538686996, 2.0577356972227, 2.0532418932248, 2.048760077568, 2.0442901864587, 2.0398321566111]","[3.3186343862102006, 3.3148250305734, 3.3097287130153, 3.3034200236046005, 3.2971349358089994, 3.2895894657534006, 3.2818010058164995, 3.2740484865306, 3.2663315777148996, 3.2586114036086005, 3.2494397887107, 3.2403179726169995, 3.2312454174648995, 3.2222215940588, 3.2132459816853, 3.2043180679325, 3.1954373485145995, 3.1866033271009995, 3.1778155151497995, 3.1684464073667, 3.1583082478042, 3.1482309013693, 3.1382136428423, 3.128255759899599, 3.1183565528095, 3.1085153341371994, 3.0987314284583003, 3.0566730512727, 2.9979088581553, 2.9411308797925, 2.8862092273313995]","[3.9998154330036, 3.9936300751076, 3.9846005222527, 3.9746775077954, 3.9629812436959, 3.9513658470322, 3.939791388838, 3.9260526862374, 3.9124254252562, 3.8989078125123, 3.8854980975682993, 3.8721945715714, 3.8589955659463007, 3.8445494887564, 3.8294107241303, 3.8144071600685, 3.7995364030456993, 3.7847961225398, 3.737844152995899, 3.6504516416763, 3.5673813209449996, 3.4882257362313, 3.4126324650807, 3.3402946322286, 3.2709433839807, 3.2043418554249996, 3.1402802886420997, 3.0785720480504994, 3.019050342040399, 2.9615655057945, 2.9059827338262005]","[4.4831209798242995, 4.4742142036957, 4.461620439728099, 4.446285981605099, 4.4308165744705, 4.4139242744066, 4.3957299330803, 4.3777305265825, 4.359921922076098, 4.342300116777499, 4.3227923746056, 4.3026978069365, 4.282840753320199, 4.263215664539599, 4.162376268474199, 4.050677914703499, 3.9459453336439, 3.8473604867984994, 3.7542414801588, 3.6660139345305, 3.5821895070886005, 3.5023495222535006, 3.4261323193935995, 3.3532233484518, 3.2833473270315006, 3.216261964576399, 3.1517528922929996, 3.089629531087199, 3.0297216966736, 2.9718767894645994, 2.9159574523764]","[4.858001811168999, 4.845937182585999, 4.828954448030499, 4.809550623136, 4.7888040517938, 4.7660917660663, 4.7436824414297, 4.7215681017151, 4.6976719725459, 4.6725911179063, 4.6478791962766, 4.5663721603648995, 4.4255497930041, 4.295624054364099, 4.175029056237699, 4.062513937523999, 3.9570636456506, 3.8578431528971, 3.764157251130301, 3.6754209793679, 3.5911374786219, 3.5108811421993, 3.4342846110332, 3.3610286069391995, 3.2908338916078006, 3.2234548393182996, 3.1586742496994, 3.0962991240755, 3.0361571982740996, 2.9780940749223994, 2.9219708349933]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.993893310713199, 4.9640190720571, 4.9023005770062, 4.731840720558299, 4.577094316610399, 4.4354072908069, 4.304745943179199, 4.183517500943399, 4.0704512012659, 3.964516943812199, 3.8648681122795, 3.7708004291556, 3.6817217340156994, 3.5971293800566, 3.5165930545838004, 3.4397415328707, 3.3662523318577, 3.2958435337404, 3.2282672552634, 3.1633043805661, 3.1007602751123, 3.0404612692684, 2.9822517514167, 2.9259917480521995]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.911650699981099, 4.7402864114422, 4.5847951140346, 4.4424839416284, 4.311292035888898, 4.189607042242299, 4.0761437227785, 3.9698610459729, 3.8699039862237, 3.7755616909993, 3.686236784869699, 3.6014224316884995, 3.5206849147444994, 3.4436502148388, 3.3699935333937, 3.2994310176451, 3.2317131548404996, 3.166619447095599, 3.1039540800625, 3.0435423708295004, 2.9852278326525, 2.9288697322831]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.918697601702898, 4.746648660022, 4.5905939659075, 4.447811060777299, 4.3162183987654, 4.194188727471699, 4.0804258078911, 3.973880308279, 3.8736908227557, 3.779141513669, 3.689631054047001, 3.6046494351131, 3.5237603635298, 3.4465877057998004, 3.3728049121311, 3.3021266668980997, 3.234302225836299, 3.1691100469039, 3.1063534246269, 3.045856910954399, 2.9874633584849, 2.9310314605495]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.9241990342897, 4.751613787202, 4.5951180629853, 4.4519660855743, 4.320060026611, 4.1977609191608, 4.0837638807364, 3.9770130626889, 3.876642052699, 3.7819311034949994, 3.6922757905361, 3.6071636190996994, 3.5261562776692, 3.4488759772557, 3.3749947972931995, 3.3042262774147, 3.2363187099017, 3.1710497360255, 3.1082219534707, 3.0476593159847005, 2.9892041597471994, 2.9327147299393994]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.9286131883261, 4.755596481436299, 4.598746132939, 4.455297520265699, 4.3231396663524, 4.200624151420099, 4.086439122708598, 3.9795234790917005, 3.8790067751006, 3.7841661152258, 3.6943945815234, 3.6091776788605, 3.5280754721999, 3.4507088411536, 3.3767487630044, 3.3059078571767, 3.2379336416303, 3.1726031013933, 3.1097182743045995, 3.049102633589999, 2.9905981006633997, 2.9340625608199002]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.932233415528, 4.758862086767501, 4.601720392615299, 4.4580281618548, 4.325663577385599, 4.202970431056701, 4.0886311301355, 3.9815802500413, 3.8809440267966986, 3.785996975378499, 3.6961301275666, 3.6108273437728, 3.5296473546515994, 3.4522099458289, 3.3781851891486996, 3.3072849482023, 3.239256105048399, 3.1738751058661, 3.1109435288622995, 3.0502844528068995, 2.9917394586766, 2.935166136407599]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.9352562422416, 4.7615882819034, 4.604202971033899, 4.4603070918214, 4.3277697369306, 4.2049281703185, 4.090459990300799, 3.9832961514368, 3.8825601114146, 3.7875242178181, 3.697577786798099, 3.6122033030254, 3.5309583811034, 3.4534618917833995, 3.3793831498363, 3.308433386965499, 3.2403589536792006, 3.1749358457881995, 3.1119652573848997, 3.0512699376271, 2.9926911830468, 2.9360863368219006]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.9378182737448, 4.763898522779001, 4.6063064834965, 4.462237834681499, 4.329553936585, 4.206586502699299, 4.092009043907098, 3.9847494381218, 3.8839287829163, 3.788817585172199, 3.6988037043128, 3.6133684570961, 3.5320685108317, 3.4545219598505996, 3.3803974765124, 3.3094057564013, 3.2412926990886, 3.1758339183582995, 3.1128302825077, 3.0521042611524, 2.9934969096077, 2.9368653618107006]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.9400174148271, 4.765881260968699, 4.6081115928478, 4.463894525052099, 4.3310847601897, 4.208009234501298, 4.0933379419192, 3.9859961138174, 3.8851028180575, 3.7899269788272, 3.6998552032333, 3.6143678041654006, 3.5330206348110003, 3.4554311223181, 3.3812673870821994, 3.3102396640995, 3.2420934655721, 3.1766040771409, 3.1135720872830004, 3.0528197255380998, 2.9941878400752, 2.9375333851559997]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.9419256684155, 4.7676015289153, 4.609677591346399, 4.4653316460358, 4.3324126032216, 4.2092432440712, 4.094490504415999, 3.9870773149037, 3.8861209792489992, 3.790889046263, 3.7007670349446, 3.615234386065699, 3.5338462456277995, 3.4562194612948995, 3.3820216741006006, 3.3109627190737, 3.2427877720589, 3.1772718337880996, 3.1142152498034994, 3.0534400412283995, 2.994786876413999, 2.9381125536590003]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.9435971702133985, 4.769108209718199, 4.6110490385036, 4.466590136152199, 4.333575327428399, 4.2103237464983, 4.0954996456489, 3.9880239369965, 3.8870123767571, 3.7917313074529, 3.7015652938748, 3.6159930120891, 3.5345689880763005, 3.4569095614912, 3.3826819531679, 3.3115956475588995, 3.2433955257099, 3.1778563386619996, 3.1147782190653, 3.0539830054115, 2.9953112084884, 2.9386194899415994]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.9450734070812, 4.770438757019599, 4.612260069374698, 4.4677013520411, 4.3346019292542985, 4.211277708438298, 4.096390568054199, 3.9888596349648, 3.8877992969378994, 3.7924748299203, 3.702269955112, 3.6166626725938, 3.535206960311099, 3.4575187089284, 3.3832647679271997, 3.3121543119585994, 3.2439319615733995, 3.1783722471902, 3.1152751133617995, 3.0544622372265997, 2.9957739903734004, 2.939066913727]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.946386707511799, 4.771622351036699, 4.6133372746145, 4.4686897169116, 4.335514991153, 4.2121261295992, 4.0971828959125, 3.989602826753, 3.8884990911156994, 3.7931360151426, 3.7028965688792, 3.6172581505481993, 3.5357742501970995, 3.4580603587995995, 3.3837829952813996, 3.3126510585445, 3.2444089372907006, 3.1788309655881, 3.1157169205932, 3.0548883358558006, 2.9961854590961, 2.9394647238176]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.9475626366567, 4.7726820634993, 4.614301675647599, 4.469574536525499, 4.3363323621232, 4.2128856066275, 4.0978921377283, 3.990268066624099, 3.8891254699307, 3.7937278225756, 3.7034574214823, 3.617791125584, 3.5362819877842995, 3.4585451409683, 3.384246807929999, 3.313095640553199, 3.2448358198577996, 3.1792415040361, 3.116112320310799, 3.0552696736269, 2.9965537007661, 2.9398207390271995]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.948621677098898, 4.7736363765747, 4.6151701101704, 4.470371272817399, 4.337068336164, 4.2135694296299, 4.098530711466998, 3.990867007815, 3.8896894106124, 3.7942606275692, 3.7039623489616, 3.6182709477268, 3.5367390828506, 3.4589815645577, 3.3846643488241, 3.3134958649775, 3.2452201069318, 3.1796110744347006, 3.1164682596406004, 3.0556129516443, 2.9968851872951, 2.9401412172337995]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.949580432140098, 4.774500270045699, 4.615956223650199, 4.4710924551911, 4.337734495369899, 4.214188366563199, 4.0991086778825, 3.9914090910422, 3.8901998058263, 3.794742834876099, 3.7044193189111, 3.6187051906388, 3.5371527522439004, 3.4593765217092995, 3.3850422133585996, 3.3138580549641996, 3.2455678709961995, 3.1799455177197995, 3.1167903649801, 3.0559235969686003, 2.9971851600478003, 2.9404312263937]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.950452502691301, 4.775286013429399, 4.616671191614499, 4.471748344291999, 4.3383403239561, 4.214751234447898, 4.0996342744996, 3.9919020458093, 3.8906639360739, 3.7951813252954993, 3.7048348540304, 3.6191000543488, 3.5375289037411, 3.4597356542590996, 3.3853858003401998, 3.3141873863633995, 3.2458840826286006, 3.1802496148575994, 3.1170832416183, 3.0562060516646, 2.9974579090388995, 2.9406949145359995]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.951249136558399, 4.7760037523898, 4.617324254290299, 4.472347423271, 4.338893662656799, 4.2152653220469, 4.100114310711798, 3.9923522613025, 3.8910878191807, 3.7955817860889, 3.7052143454419, 3.619460663153299, 3.5378724199793994, 3.4600636249513994, 3.3856995715724, 3.3144881366406, 3.2461728495846, 3.1805273168456, 3.1173506953195003, 3.0564639865617, 2.9977069794035, 2.9409357094244]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.951979716255001, 4.776661949242098, 4.617923118162899, 4.472896766724599, 4.3394010499459, 4.215736707241799, 4.100554464427699, 3.9927650648482, 3.8914764726656994, 3.7959489590206, 3.705562287885501, 3.6197912892311, 3.5381873715765, 3.4603643210049, 3.385987246688, 3.314763871696, 3.246437596234, 3.1807819173297, 3.1175958986185996, 3.0567004616748, 2.9979353263448005, 2.9411564683924]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.952652130302299, 4.7772677181938, 4.618474261540799, 4.4734023214096, 4.3398679816402, 4.216170498476199, 4.1009595077286, 3.993144933723499, 3.891834113306, 3.7962868290135, 3.7058824585972, 3.6200955227067, 3.5384771792084995, 3.4606410089214, 3.386251951313, 3.3150175879279, 3.2466812000092, 3.1810161838618, 3.1178215172707, 3.0569180481851004, 2.9981454329501, 2.9413595922703]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.9532730591517, 4.7778270834648, 4.6189831698013, 4.473869122337799, 4.340299110725299, 4.2165710205912, 4.1013334805451, 3.993495658166, 3.8921643107142, 3.7965987693265, 3.7061780549574994, 3.6203764025134, 3.5387447383233, 3.4608964536022, 3.3864963310656, 3.3152518215382996, 3.2469060963869, 3.181232458888, 3.1180298075369994, 3.057118922285499, 2.9983394008326005, 2.9415471130336]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.953848197966799, 4.778345180382699, 4.6194545186447, 4.474301461096699, 4.3406984029937, 4.216941959558399, 4.1016798259118, 3.993820468316, 3.8924701069307, 3.7968876546016, 3.7064518016716, 3.6206365182855, 3.5389925162433, 3.4611330110902996, 3.3867226403140998, 3.3154687336327995, 3.2471143606196997, 3.1814327383691006, 3.1182226919224005, 3.0573049382399, 2.9985190206932, 2.9417207620339]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.954382431805399, 4.778826413492199, 4.619892318163898, 4.4747030181692, 4.341069259386, 4.217286476241499, 4.1020014962749, 3.9941221339862993, 3.8927541104129, 3.7971559497052, 3.7067060349992, 3.6208780904301, 3.5392226284702004, 3.4613527014476, 3.3869328119199, 3.3156701770894994, 3.247307771959099, 3.1816187335571, 3.1184018186857996, 3.0574776857872, 2.9986858277638, 2.9418820236097]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.954879974683099, 4.7792745820538, 4.6203000271889, 4.4750769679441, 4.3414146130766, 4.2176072966697, 4.102301037845599, 3.9944030438243994, 3.8930185706089, 3.797405780216, 3.7069427695794, 3.6211030336529, 3.5394368992216996, 3.4615572665703005, 3.3871285125672, 3.3158577496065, 3.2474878646007, 3.1817919200002995, 3.1185686090469, 3.0576385356769, 2.9988411457856, 2.9420321776111]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.9553444810284, 4.7796929806164, 4.6206806449128, 4.475426062857599, 4.3417370072609, 4.217906784362199, 4.1025806581795, 3.9946652687314, 3.8932654376972, 3.7976389888896, 3.7071637519613, 3.6213130078436, 3.5396369099211005, 3.4617482164992, 3.3873111870796, 3.3160328361905, 3.2476559684904, 3.1819535767940996, 3.1187242949959, 3.0577886761405, 2.9989861222328997, 2.9421723334586]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.9557791355092995, 4.780084480066498, 4.621036784726199, 4.4757527011917, 4.3420386578301, 4.2181869986001, 4.102842280622999, 3.9949106129538, 3.8934964107141994, 3.7978571811463007, 3.7073705037268, 3.6215094590671, 3.5398240382579, 3.4619268667224, 3.387482094118, 3.3161966433813994, 3.247813242192, 3.182104818196, 3.1188699497478005, 3.0579291422663, 2.9991217566834996, 2.9423034575751994]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.9561867262509, 4.780451593685399, 4.621370734388899, 4.476058982324799, 4.3423215044435, 4.218449741908099, 4.1030875886763, 3.9951406557121, 3.8937129767661, 3.798061762131, 3.7075643566222, 3.6216936529585, 3.5399994900093, 3.462094368565499, 3.3876423352617997, 3.3163502271331, 3.2479606996631, 3.1822466193798, 3.1190065125504, 3.0580608399292, 2.9992489239296, 2.9424263957326002]"
